Location Type,Location Specifics,Location Name,Latitude,Longitude
Transport,Airport,Incheon International Airport,37.48669961905564,126.51382125942646
Transport,Bus stop,Stop 7A,37.48669961905564,126.51382125942646
Transport,Bus stop,Ansan Bus Terminal,37.31705631699141,126.84690062084255
Transport,Stadium,Wa stadium,37.31987748180103,126.81946574167756
Transport,Train Station,Seoul Station,37.55481898267267,126.97201778352822
Transport,Train Station,Gojan Station,37.317014388952295,126.82305835386012
Transport,Airport,Gimpo international Airport,37.5656743404155,126.80168224778114
Transport,Bus stop,Stop 11-3,37.5656743404155,126.80168224778114
Transport,Train Station,Dongjak Station,37.50305966614778,126.980426826884
Venue,Track Race Jump,Wa Stadium,37.31986034537371,126.81949790654315
Venue,Urban Workshops Registration Final party,Wa Stadium Social area,37.31960312541935,126.81892247660237
Venue,Freestyle,Basketball Workshops, Wadong Gym,37.34132734323314,126.81846630691668
Venue,Hockey Downhill Gliding,ShinAnsan Univ,37.31299738857227,126.8075351311134
Venue,10Km Cyclocross,Ansan Lake Park,37.30126261334414,126.82619438118802
Venue,Rail Race,Suinsun Rail,37.316539564814704,126.81872742732916
Venue,42Km,HwajeongCheon,37.32261889945037,126.82033504117317
Venue,Opening Ceremonies,Hwarang Park,37.323952080836285,126.8122305956285
Venue,Freestyle open practice,Ansan Olympic Gym,37.32702000974406,126.82713396726795
Venue,XC, UH Suri Mt,37.34155401019666,126.89779767820534
Venue,DH,Suam Mt,37.3641389625047,126.88016073832495
Venue,100km,Daebudo,37.28430799525488,126.5833206089257
Lodging,,Dormitory (New-RaSung),37.30574876348762,126.86216092663783
Lodging,,Royal Heritage Hotel,37.318038864663556,126.8392340498254
Lodging,,Hivice Hotel,37.31736662296521,126.83519926735283
Lodging,,Rasung Hotel,37.32832166459814,126.80368473913991
Lodging,,Rio Hotel,37.310087473015635,126.86807826153131
Lodging,,Hanyang University Erica Guest House,37.299855851636906,126.84228596847092
Lodging,,Seowon Hotel,37.30239760230241,126.85049206496149
Lodging,,Hotel Square,37.31505415189625,126.80239962410009
Lodging,,Hanyang University Erica Dormitory,37.29889906613337,126.8377918166832
Lodging,,Ansan Hwarang Auto Camping Ground,37.32325255177624,126.81606816496247